#{"t_start": 1619374959.5355217, "env_id": null}
r,l,t
0.0,1409,21.725255
0.0,1409,37.993341
0.0,1409,53.448981
0.0,1409,68.410323
0.0,1409,81.301398
0.0,1409,98.139765
0.0,1409,110.513366
0.0,1409,125.606091
0.0,1409,139.172356
0.0,1409,154.908455
0.0,1409,170.632242
0.0,1409,184.082281
0.0,1409,198.280798
0.0,1409,210.021072
0.0,1409,224.598807
0.0,1409,239.689074
0.0,1409,253.36734
0.0,1409,266.896509
0.0,1409,280.766126
0.0,1409,293.177198
0.0,1409,307.097517
0.0,1409,320.571822
0.0,1409,332.031174
0.0,1409,344.349591
0.0,1409,357.156787
0.0,1409,370.028721
0.0,1409,382.181802
0.0,1409,396.910396
0.0,1409,409.710826
0.0,1409,427.213824
0.0,1409,441.584799
0.0,1409,454.828866
0.0,1409,470.259351
0.0,1409,484.623039
0.0,1409,498.73675
0.0,1409,727.797569
0.0,1409,742.01277
0.0,1409,755.320212
0.0,1409,771.381854
0.0,1409,786.289035
0.0,1409,799.966081
0.0,1409,814.531246
0.0,1409,828.015819
0.0,1409,844.125862
0.0,1409,861.624707
0.0,1409,875.044595
0.0,1409,887.092435
0.0,1409,901.905187
0.0,1409,914.006379
0.0,1409,927.959534
0.0,1409,941.786566
0.0,1409,954.446727
0.0,1409,968.280479
0.0,1409,982.365674
0.0,1409,994.79344
0.0,1409,1006.721232
0.0,1409,1021.115509
-0.0,1409,1032.773348
0.0,1409,1045.535978
0.0,1409,1057.238759
0.0,1409,1068.144774
0.0,1409,1081.098987
0.0,1409,1094.168555
0.0,1409,1105.071575
0.0,1409,1116.442117
0.0,1409,1127.59458
0.0,1409,1138.447517
0.0,1409,1150.435483
0.0,1409,1162.728014
0.0,1409,1174.395161
0.0,1409,2104.823041
0.0,1409,2116.546999
0.0,1409,2130.039521
0.0,1409,2142.203969
0.0,1409,2155.385059
0.0,1409,2167.8471
0.0,1409,2180.580145
0.0,1409,2193.022383
0.0,1409,2205.064952
0.0,1409,2218.206312
0.0,1409,2230.185528
0.0,1409,2241.618214
0.0,1409,2252.772371
0.0,1409,2263.772989
0.0,1409,2274.750115
0.0,1409,2285.642192
0.0,1409,2298.427804
0.0,1409,2309.586541
0.0,1409,2320.472853
0.0,1409,2331.671706
0.0,1409,2347.974297
0.0,1409,2361.021857
0.0,1409,2373.965345
0.0,1409,2386.711869
0.0,1409,2399.821491
0.0,1409,2412.116725
0.0,1409,2423.648158
0.0,1409,2436.661841
0.0,1409,2448.693115
0.0,1409,2459.796489
0.0,1409,2471.422723
0.0,1409,2482.533429
0.0,1409,2494.885536
0.0,1409,2507.198796
0.0,1409,2517.624525
0.0,1409,2531.110151
